Time: 21.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 122, SumTotal: 1, CountTotal: 1685, HARQErrorRate: 0
Time: 21.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 122, SumTotal: 1, CountTotal: 1681, HARQErrorRate: 0
Time: 22, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1816, HARQErrorRate: 0
Time: 22.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1810, HARQErrorRate: 0
Time: 22.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1815, HARQErrorRate: 0
Time: 22.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1805, HARQErrorRate: 0
Time: 22.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1812, HARQErrorRate: 0
Time: 22.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1798, HARQErrorRate: 0
Time: 22.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1810, HARQErrorRate: 0
Time: 22.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1806, HARQErrorRate: 0
Time: 23, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1941, HARQErrorRate: 0
Time: 23.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1935, HARQErrorRate: 0
Time: 23.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1940, HARQErrorRate: 0
Time: 23.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1930, HARQErrorRate: 0
Time: 23.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1937, HARQErrorRate: 0
Time: 23.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1923, HARQErrorRate: 0
Time: 23.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1935, HARQErrorRate: 0
Time: 23.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 1931, HARQErrorRate: 0
Time: 24, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 124, SumTotal: 1, CountTotal: 2065, HARQErrorRate: 0
Time: 24.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 123, SumTotal: 1, CountTotal: 2058, HARQErrorRate: 0
Time: 24.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 123, SumTotal: 1, CountTotal: 2063, HARQErrorRate: 0
Time: 24.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 124, SumTotal: 1, CountTotal: 2054, HARQErrorRate: 0
Time: 24.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 124, SumTotal: 1, CountTotal: 2061, HARQErrorRate: 0
Time: 24.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 1, CountTotal: 2048, HARQErrorRate: 0
